Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
1 100 6 0.671 0.310 88.180 0.000 0.000 6.000 50.000
1 100 6 0.674 0.305 86.150 0.000 0.000 6.000 50.000
1 100 6 0.686 0.296 83.730 0.000 0.000 6.000 50.000
1 100 6 0.685 0.289 77.840 0.000 0.000 6.000 50.000
1 100 6 0.707 0.276 78.700 0.000 0.000 6.000 50.000
1 100 6 0.680 0.299 79.980 0.000 0.000 6.000 50.000
1 100 6 0.701 0.277 80.010 0.000 0.000 6.000 50.000
1 100 6 0.694 0.281 74.900 0.000 0.000 6.000 50.000
1 100 6 0.679 0.301 78.770 0.000 0.000 6.000 50.000
1 100 6 0.698 0.277 69.820 0.000 0.000 6.000 50.000
1 100 6 0.702 0.274 78.050 0.000 0.000 6.000 50.000
1 100 6 0.680 0.300 77.920 0.000 0.000 6.000 50.000
1 100 6 0.679 0.299 81.270 0.000 0.000 6.000 50.000
1 100 6 0.690 0.288 77.460 0.000 0.000 6.000 50.000
1 100 6 0.679 0.294 74.090 0.000 0.000 6.000 50.000
1 100 6 0.676 0.300 79.710 0.000 0.000 6.000 50.000
1 100 6 0.696 0.286 81.690 0.000 0.000 6.000 50.000
1 100 6 0.703 0.278 77.910 0.000 0.000 6.000 50.000
1 100 6 0.692 0.283 75.150 0.000 0.000 6.000 50.000
1 100 6 0.686 0.297 82.620 0.000 0.000 6.000 50.000
1 100 6 0.665 0.315 78.070 0.000 0.000 6.000 50.000
1 100 6 0.662 0.307 77.370 0.000 0.000 6.000 50.000
1 100 6 0.671 0.303 78.380 0.000 0.000 6.000 50.000
1 100 6 0.676 0.299 79.840 0.000 0.000 6.000 50.000
1 100 6 0.695 0.279 82.050 0.000 0.000 6.000 50.000
1 100 6 0.666 0.308 77.780 0.000 0.000 6.000 50.000
1 100 6 0.659 0.317 82.780 0.000 0.000 6.000 50.000
1 100 6 0.687 0.291 75.650 0.000 0.000 6.000 50.000
1 100 6 0.677 0.299 76.790 0.000 0.000 6.000 50.000
1 100 6 0.676 0.303 78.840 0.000 0.000 6.000 50.000
1 100 6 0.693 0.277 75.430 0.000 0.000 6.000 50.000
1 100 6 0.685 0.298 82.430 0.000 0.000 6.000 50.000
1 100 6 0.661 0.314 83.090 0.000 0.000 6.000 50.000
1 100 6 0.671 0.312 88.940 0.000 0.000 6.000 50.000
1 100 6 0.678 0.301 82.690 0.000 0.000 6.000 50.000
1 100 6 0.685 0.285 70.890 0.000 0.000 6.000 50.000
1 100 6 0.668 0.305 77.000 0.000 0.000 6.000 50.000
1 100 8 0.730 0.241 65.970 0.000 0.000 8.000 50.000
1 100 8 0.681 0.294 76.940 0.000 0.000 8.000 50.000
1 100 8 0.710 0.266 77.020 0.000 0.000 8.000 50.000
1 100 8 0.705 0.265 64.950 0.000 0.000 8.000 50.000
1 100 8 0.685 0.292 77.370 0.000 0.000 8.000 50.000
1 100 8 0.679 0.301 76.620 0.000 0.000 8.000 50.000
1 100 8 0.699 0.274 76.800 0.000 0.000 8.000 50.000
1 100 8 0.713 0.265 74.690 0.000 0.000 8.000 50.000
1 100 8 0.712 0.258 68.690 0.000 0.000 8.000 50.000
1 100 8 0.684 0.291 76.440 0.000 0.000 8.000 50.000
1 100 8 0.677 0.300 78.180 0.000 0.000 8.000 50.000
1 100 8 0.715 0.254 68.110 0.000 0.000 8.000 50.000
1 100 8 0.693 0.289 83.620 0.000 0.000 8.000 50.000
1 100 8 0.701 0.276 75.640 0.000 0.000 8.000 50.000
1 100 8 0.694 0.283 75.890 0.000 0.000 8.000 50.000
1 100 8 0.716 0.257 71.240 0.000 0.000 8.000 50.000
1 100 8 0.714 0.269 73.130 0.000 0.000 8.000 50.000
1 100 8 0.677 0.293 77.130 0.000 0.000 8.000 50.000
1 100 8 0.714 0.259 66.770 0.000 0.000 8.000 50.000
1 100 8 0.687 0.290 82.260 0.000 0.000 8.000 50.000
1 100 8 0.706 0.268 69.670 0.000 0.000 8.000 50.000
1 100 8 0.730 0.247 70.830 0.000 0.000 8.000 50.000
1 100 8 0.706 0.266 63.660 0.000 0.000 8.000 50.000
1 100 8 0.689 0.288 74.880 0.000 0.000 8.000 50.000
1 100 8 0.716 0.255 70.170 0.000 0.000 8.000 50.000
1 100 8 0.708 0.272 79.130 0.000 0.000 8.000 50.000
1 100 8 0.715 0.265 80.180 0.000 0.000 8.000 50.000
1 100 8 0.726 0.252 77.730 0.000 0.000 8.000 50.000
1 100 8 0.696 0.287 88.100 0.000 0.000 8.000 50.000
1 100 8 0.710 0.261 71.770 0.000 0.000 8.000 50.000
1 100 8 0.679 0.301 78.680 0.000 0.000 8.000 50.000
1 100 8 0.704 0.268 68.470 0.000 0.000 8.000 50.000
1 100 8 0.706 0.264 71.160 0.000 0.000 8.000 50.000
1 100 8 0.697 0.283 74.570 0.000 0.000 8.000 50.000
1 100 8 0.704 0.273 75.270 0.000 0.000 8.000 50.000
1 100 8 0.696 0.280 72.020 0.000 0.000 8.000 50.000
1 100 8 0.699 0.279 79.280 0.000 0.000 8.000 50.000
1 100 8 0.691 0.283 82.390 0.000 0.000 8.000 50.000
1 100 8 0.715 0.259 77.330 0.000 0.000 8.000 50.000
1 100 8 0.694 0.286 79.420 0.000 0.000 8.000 50.000
1 100 8 0.677 0.298 82.510 0.000 0.000 8.000 50.000
1 100 8 0.690 0.286 79.270 0.000 0.000 8.000 50.000
1 100 8 0.680 0.303 82.820 0.000 0.000 8.000 50.000
1 100 8 0.716 0.256 66.940 0.000 0.000 8.000 50.000
1 100 8 0.700 0.277 76.310 0.000 0.000 8.000 50.000
1 100 8 0.694 0.280 75.000 0.000 0.000 8.000 50.000
1 100 8 0.690 0.288 80.760 0.000 0.000 8.000 50.000
